k,mean,std,count,se
100,0.6169491525423729,0.030547413296109067,30,0.005577169111904058
172,0.6197740112994351,0.050980409339199124,30,0.009307706728642133
296,0.6319209039548023,0.030407923569924968,30,0.005551701888713642
510,0.6477401129943503,0.02298699916145446,30,0.004196832656693648
877,0.6429378531073446,0.022884422303933158,30,0.004178104770446178
1509,0.648587570621469,0.02166134408212521,30,0.003954802259887005
2598,0.6480225988700565,0.015694871914570398,30,0.002865478461588167
4470,0.6435028248587571,0.01475132628695836,30,0.002693211386828673
7693,0.6451977401129944,0.01106815715156516,30,0.0020207597806414547
13239,0.6426553672316384,0.009198569607103938,30,0.0016794213568640866
22784,0.637005649717514,0.0080499502201847,30,0.0014697131074629464
39209,0.6271186440677966,0.0,30,0.0
