k,mean,std,count,se
100,0.5898305084745762,0.05637235383406687,30,0.01029213660486042
172,0.5864406779661018,0.05067181821584134,30,0.009251365955539161
296,0.6107344632768362,0.04865389933439737,30,0.008882946058678343
510,0.6454802259887006,0.050900193446402765,30,0.009293061377323806
877,0.6570621468926554,0.03775105387187484,30,0.006892367925072864
1509,0.6720338983050848,0.030118785329588973,30,0.005498912709890517
2598,0.6819209039548023,0.03365880717531819,30,0.006145229316212838
4470,0.6796610169491525,0.02637045027776139,30,0.004814563489566096
7693,0.6903954802259887,0.0240453683882216,30,0.004390063556583537
13239,0.6867231638418079,0.015496378910268668,30,0.0028292387629338246
22784,0.68954802259887,0.012684235185988981,30,0.0023158139120223005
39209,0.6864406779661016,0.0,30,0.0
